case_key,vendor,model,spacing_z,thick_mm,th_bin
7837dc507db5,SIEMENS,Verio,1.0,1.0,thin<=2.0
87b7f4e606e8,GE MEDICAL SYSTEMS,Signa HDxt,4.0,4.0,thick>3.2
3af481e598af,GE MEDICAL SYSTEMS,Signa HDxt,4.0,4.0,thick>3.2
6508b27112a7,GE MEDICAL SYSTEMS,Signa HDxt,4.0,4.0,thick>3.2
787ba556c67e,GE MEDICAL SYSTEMS,Signa HDxt,4.0,4.0,thick>3.2
dd8cf2855f78,GE MEDICAL SYSTEMS,Signa HDxt,4.0,4.0,thick>3.2
8c17510f4e90,GE MEDICAL SYSTEMS,Signa HDxt,4.0,4.0,thick>3.2
9e01261fa775,GE MEDICAL SYSTEMS,Signa HDxt,4.0,4.0,thick>3.2
f7236cb2c4e4,GE MEDICAL SYSTEMS,Signa HDxt,3.5,3.5,thick>3.2
8f992e07f0e7,GE MEDICAL SYSTEMS,Signa HDxt,4.0,4.0,thick>3.2
f37b65285193,GE MEDICAL SYSTEMS,Signa HDxt,4.0,4.0,thick>3.2
d3c79723520e,GE MEDICAL SYSTEMS,Signa HDxt,3.5,3.5,thick>3.2
dca4c8c8e7a1,GE MEDICAL SYSTEMS,Signa HDxt,4.0,4.0,thick>3.2
9b4b25b82916,GE MEDICAL SYSTEMS,Signa HDxt,4.0,4.0,thick>3.2
383c9339f3fe,GE MEDICAL SYSTEMS,Signa HDxt,4.0,4.0,thick>3.2
f27b6d2a9292,SIEMENS,Skyra,1.5,1.5,thin<=2.0
7f3aa14827df,GE MEDICAL SYSTEMS,Signa HDxt,4.0,4.0,thick>3.2
ff214940e8c6,GE MEDICAL SYSTEMS,Signa HDxt,4.0,4.0,thick>3.2
dd1e7581251b,GE MEDICAL SYSTEMS,Signa HDxt,4.0,4.0,thick>3.2
1985c3112a2f,GE MEDICAL SYSTEMS,Signa HDxt,4.0,4.0,thick>3.2
39410f85cbaa,GE MEDICAL SYSTEMS,Signa HDxt,4.0,4.0,thick>3.2
73998685ece6,GE MEDICAL SYSTEMS,Signa HDxt,4.0,4.0,thick>3.2
aaba745224c4,GE MEDICAL SYSTEMS,Signa HDxt,4.0,4.0,thick>3.2
ef7d6feda3ee,GE MEDICAL SYSTEMS,Signa HDxt,4.0,4.0,thick>3.2
511207b42703,SIEMENS,Skyra,1.5,1.5,thin<=2.0
96e4acbdbdf4,GE MEDICAL SYSTEMS,Signa HDxt,4.0,4.0,thick>3.2
3cf5f4e24b32,GE MEDICAL SYSTEMS,Signa HDxt,4.0,4.0,thick>3.2
d2d1b4b32ad9,GE MEDICAL SYSTEMS,Signa HDxt,3.5,3.5,thick>3.2
359273fca917,GE MEDICAL SYSTEMS,Signa HDxt,3.5,3.5,thick>3.2
c75c6abf6336,GE MEDICAL SYSTEMS,Signa HDxt,3.5,3.5,thick>3.2
5475a4b69b60,GE MEDICAL SYSTEMS,Signa HDxt,3.5,3.5,thick>3.2
00ccdc379545,GE MEDICAL SYSTEMS,Signa HDxt,4.0,4.0,thick>3.2
59c238886036,SIEMENS,Verio,1.5,1.5,thin<=2.0
11a26e969e24,GE MEDICAL SYSTEMS,Signa HDxt,4.0,4.0,thick>3.2
daaf2f1972c5,GE MEDICAL SYSTEMS,Signa HDxt,4.0,4.0,thick>3.2
faaf16ba7263,GE MEDICAL SYSTEMS,Signa HDxt,4.0,4.0,thick>3.2
443916cfa7f7,GE MEDICAL SYSTEMS,Signa HDxt,4.0,4.0,thick>3.2
34135adfaa4d,GE MEDICAL SYSTEMS,Signa HDxt,4.0,4.0,thick>3.2
bd289a834221,GE MEDICAL SYSTEMS,Signa HDxt,4.0,4.0,thick>3.2
f63804064e38,GE MEDICAL SYSTEMS,Signa HDxt,3.5,3.5,thick>3.2
b3ef8673413f,GE MEDICAL SYSTEMS,Signa HDxt,4.0,4.0,thick>3.2
d227b38a404b,SIEMENS,Verio,1.0,1.0,thin<=2.0
742db5138f2e,GE MEDICAL SYSTEMS,Signa HDxt,4.0,4.0,thick>3.2
94a14275f8ce,GE MEDICAL SYSTEMS,Signa HDxt,4.0,4.0,thick>3.2
af3a556adcb3,GE MEDICAL SYSTEMS,Signa HDxt,4.0,4.0,thick>3.2
e6f6fb78c1f6,GE MEDICAL SYSTEMS,Signa HDxt,4.0,4.0,thick>3.2
ef7aaae4c1c7,SIEMENS,Verio,1.5,1.5,thin<=2.0
02580663e442,SIEMENS,Skyra,1.5,1.5,thin<=2.0
15f6f28a69ea,GE MEDICAL SYSTEMS,Signa HDxt,4.0,4.0,thick>3.2
61bab495da4b,GE MEDICAL SYSTEMS,Signa HDxt,4.0,4.0,thick>3.2
71a690bc57f1,GE MEDICAL SYSTEMS,Signa HDxt,4.0,4.0,thick>3.2
25aeaca5bcd5,GE MEDICAL SYSTEMS,Signa HDxt,4.0,4.0,thick>3.2
edc1901105dc,SIEMENS,Skyra,1.5,1.5,thin<=2.0
fbc6e7742e32,GE MEDICAL SYSTEMS,Signa HDxt,4.0,4.0,thick>3.2
8c4c3df7e00d,SIEMENS,Skyra,1.5,1.5,thin<=2.0
44e446f704c4,GE MEDICAL SYSTEMS,Signa HDxt,4.0,4.0,thick>3.2
d5fc79c2a27b,GE MEDICAL SYSTEMS,Signa HDxt,4.0,4.0,thick>3.2
4d4eccabd820,GE MEDICAL SYSTEMS,Signa HDxt,4.0,4.0,thick>3.2
83263611c9d3,GE MEDICAL SYSTEMS,Signa HDxt,4.0,4.0,thick>3.2
1a7750404801,GE MEDICAL SYSTEMS,Signa HDxt,4.0,4.0,thick>3.2
278d7c69f8b3,SIEMENS,Skyra,1.5,1.5,thin<=2.0
39f23f3f1787,GE MEDICAL SYSTEMS,Signa HDxt,4.0,4.0,thick>3.2
b1ea2f5e2d57,SIEMENS,Verio,1.5,1.5,thin<=2.0
