family,n,d_vendor_med,d_vendor_p90,d_thick_med,d_thick_p90,frac_vendor_gt08,frac_thick_gt08
wavelet-HLH|firstorder,18,0.8888008488796821,1.3422991997841318,4.412207377190336,8.05621221316657,0.5,0.7222222222222222
wavelet-LHH|firstorder,18,1.1372909015387769,1.579242346105186,4.392986856668424,7.930242017220075,0.5555555555555556,0.7222222222222222
wavelet-HHH|firstorder,18,1.3244880891569109,1.5753014493155475,4.061049841102476,6.773424622366399,0.5555555555555556,0.7222222222222222
wavelet-LLH|gldm,14,1.4589577628173962,1.7632203520430483,3.7392121084371213,5.798761223250029,0.6428571428571429,0.6428571428571429
wavelet-HHL|glcm,24,0.49444209055894267,3.216725200975953,3.578197329349911,8.534191857616957,0.375,0.7916666666666666
wavelet-LLH|glcm,24,1.833980469535326,2.3033335856201544,3.4851034522453084,9.382724424985161,0.75,0.7916666666666666
log-sigma-1-0-mm-3D|glcm,24,0.7796014345388704,1.0335311673377825,3.2740140212105544,4.747435261387763,0.25,0.7083333333333334
wavelet-LLH|glrlm,16,1.4013075800195773,1.9137414917252369,2.8988667990628665,7.594376868909659,0.625,0.625
wavelet-LLH|firstorder,18,0.9515483080742071,1.2626700833294784,2.4987930202116297,5.767973875099013,0.5,0.6666666666666666
wavelet-HHH|glcm,24,0.2839450361620544,1.2129076010870548,2.0900500528635515,2.157476910939132,0.20833333333333334,0.75
wavelet-LHH|glrlm,16,1.576433777108596,1.9381207633057742,1.8417883232912224,2.648081520016155,0.625,0.625
wavelet-LHH|gldm,14,1.2033831972754847,1.700760247892428,1.5474383133761616,3.183689342444049,0.6428571428571429,0.6428571428571429
wavelet-HLH|glrlm,16,0.7690270864247208,1.1304650129632128,1.4580723503925603,2.08125577829708,0.5,0.625
log-sigma-1-0-mm-3D|glrlm,16,0.5478718800020053,1.2000944942111116,1.3628915875719965,3.884947447078104,0.3125,0.625
wavelet-LHH|glcm,24,1.4737554657939156,2.6969693786730558,1.2983447170726126,3.104551236718908,0.75,0.5
original|glcm,24,0.5179602133640534,1.2602435695110374,1.0562742670792322,1.6630701811811939,0.16666666666666666,0.5416666666666666
wavelet-HLH|gldm,14,0.5745777996276631,1.5538998070447358,0.9981404919305852,3.144872852447358,0.42857142857142855,0.6428571428571429
wavelet-HHH|gldm,14,0.5409253007842982,0.9652767076805557,0.9807978597831,1.213409760780265,0.42857142857142855,0.5714285714285714
wavelet-HHH|glrlm,16,0.4599808812384122,1.5034113645332718,0.9217348892509427,1.7416560797993097,0.375,0.5625
wavelet-HLL|glcm,24,1.7851004778408575,3.0167312651227016,0.895831988137596,4.132946313496635,0.7916666666666666,0.7916666666666666
