set,subset,chain,n,pos,auc,acc0.5,sen0.5,spe0.5,accYouden,senYouden,speYouden
test194,full,radiomics_manual,194,81,0.876,0.814,0.753,0.858,0.768,0.827,0.726
test194,T2vT3,radiomics_manual,173,81,0.857,0.798,0.753,0.837,0.746,0.827,0.674
test194,full,radiomics_auto,194,81,0.748,0.655,0.506,0.761,0.66,0.543,0.743
test194,T2vT3,radiomics_auto,173,81,0.727,0.624,0.506,0.728,0.63,0.543,0.707
test194,full,dl_manual,194,81,0.958,0.887,0.889,0.885,0.881,0.889,0.876
test194,T2vT3,dl_manual,173,81,0.952,0.879,0.889,0.87,0.873,0.889,0.859
test194,full,dl_auto,194,81,0.958,0.845,0.926,0.788,0.892,0.765,0.982
test194,T2vT3,dl_auto,173,81,0.962,0.844,0.926,0.772,0.884,0.765,0.989
ext82,full,radiomics_manual,82,43,0.891,0.866,0.884,0.846,0.732,0.907,0.538
ext82,T2vT3,radiomics_manual,77,43,0.876,0.857,0.884,0.824,0.714,0.907,0.471
ext82,full,radiomics_auto,82,43,0.789,0.646,0.581,0.718,0.683,0.651,0.718
ext82,T2vT3,radiomics_auto,77,43,0.778,0.636,0.581,0.706,0.675,0.651,0.706
ext82,full,dl_manual,82,43,0.871,0.744,0.814,0.667,0.744,0.814,0.667
ext82,T2vT3,dl_manual,77,43,0.852,0.727,0.814,0.618,0.727,0.814,0.618
ext82,full,dl_auto,82,43,0.819,0.756,0.674,0.846,0.72,0.535,0.923
ext82,T2vT3,dl_auto,77,43,0.807,0.74,0.674,0.824,0.701,0.535,0.912
