set,subset,chain,n,n_pos,auc,acc_fixed0.5,sen_fixed0.5,spe_fixed0.5,acc_youden_oof,sen_youden_oof,spe_youden_oof,acc_youden_eval,sen_youden_eval,spe_youden_eval,stage1_n,stage1_sen0.5,stage1_senY,stage2_n,stage2_sen0.5,stage2_senY,stage3_n,stage3_sen0.5,stage3_senY,youden_src
test194,full,radiomics_manual,194,81,0.864,0.773,0.679,0.841,0.753,0.889,0.655,0.778,0.802,0.761,21.0,0.952,0.952,92,0.815,0.717,81,0.321,0.198,trainOOF
test194,T2vT3,radiomics_manual,173,81,0.8469,0.751,0.679,0.815,0.728,0.889,0.587,0.757,0.802,0.717,,,,92,0.815,0.717,81,0.321,0.198,trainOOF
test194,full,radiomics_auto,194,81,0.7508,0.696,0.63,0.743,0.68,0.728,0.646,0.711,0.58,0.805,21.0,0.905,0.905,92,0.707,0.783,81,0.37,0.42,trainOOF
test194,T2vT3,radiomics_auto,173,81,0.7319,0.671,0.63,0.707,0.676,0.728,0.63,0.688,0.58,0.783,,,,92,0.707,0.783,81,0.37,0.42,trainOOF
test194,full,dl_manual,194,81,0.958,0.887,0.889,0.885,0.881,0.889,0.876,0.907,0.889,0.92,21.0,0.952,0.952,92,0.87,0.913,81,0.111,0.111,trainOOF
test194,T2vT3,dl_manual,173,81,0.9525,0.879,0.889,0.87,0.873,0.889,0.859,0.902,0.889,0.913,,,,92,0.87,0.913,81,0.111,0.111,trainOOF
test194,full,dl_auto,194,81,0.9585,0.845,0.926,0.788,,,,0.928,0.877,0.965,21.0,0.857,0.952,92,0.772,0.967,81,0.074,0.123,evalset(optimistic)
test194,T2vT3,dl_auto,173,81,0.9623,0.844,0.926,0.772,,,,0.925,0.877,0.967,,,,92,0.772,0.967,81,0.074,0.123,evalset(optimistic)
ext82,full,radiomics_manual,82,43,0.8861,0.793,0.791,0.795,0.756,0.907,0.59,0.829,0.721,0.949,5.0,1.0,1.0,34,0.765,0.941,43,0.209,0.279,trainOOF
ext82,T2vT3,radiomics_manual,77,43,0.8694,0.779,0.791,0.765,0.74,0.907,0.529,0.818,0.721,0.941,,,,34,0.765,0.941,43,0.209,0.279,trainOOF
ext82,full,radiomics_auto,82,43,0.8205,0.756,0.674,0.846,0.744,0.791,0.692,0.768,0.698,0.846,5.0,0.8,0.8,34,0.853,0.853,43,0.326,0.302,trainOOF
ext82,T2vT3,radiomics_auto,77,43,0.8098,0.753,0.674,0.853,0.74,0.791,0.676,0.766,0.698,0.853,,,,34,0.853,0.853,43,0.326,0.302,trainOOF
ext82,full,dl_manual,82,43,0.8706,0.744,0.814,0.667,0.744,0.814,0.667,0.793,0.651,0.949,5.0,1.0,1.0,34,0.618,0.941,43,0.186,0.349,trainOOF
ext82,T2vT3,dl_manual,77,43,0.8523,0.727,0.814,0.618,0.727,0.814,0.618,0.779,0.651,0.941,,,,34,0.618,0.941,43,0.186,0.349,trainOOF
ext82,full,dl_auto,82,43,0.8187,0.756,0.674,0.846,,,,0.805,0.767,0.846,5.0,1.0,1.0,34,0.824,0.824,43,0.326,0.233,evalset(optimistic)
ext82,T2vT3,dl_auto,77,43,0.8071,0.74,0.674,0.824,,,,0.792,0.767,0.824,,,,34,0.824,0.824,43,0.326,0.233,evalset(optimistic)
