family,model,l1_C,cv_auc_mean,cv_auc_std
SVM,SVM-rbf C=1.0 gamma=0.01,0.03,0.786,0.0329
RF,RF n=500 depth=10,0.1,0.7856,0.0299
LR,LR C=0.1,0.03,0.7855,0.0328
RF,RF n=500 depth=None,0.1,0.7854,0.0319
SVM,SVM-linear C=10.0,0.03,0.7853,0.0372
RF,RF n=500 depth=10,1.0,0.7851,0.0295
SVM,SVM-linear C=1.0,0.03,0.7851,0.0366
SVM,SVM-linear C=0.01,0.03,0.7845,0.0365
LR,LR C=1.0,0.03,0.7842,0.0327
LR,LR C=0.01,0.03,0.784,0.0335
SVM,SVM-rbf C=10.0 gamma=0.001,0.03,0.784,0.0333
LR,LR C=10.0,0.03,0.7837,0.0325
LGBM,LGBM n=300 lr=0.05 leaves=31,3.0,0.7836,0.0305
RF,RF n=500 depth=None,1.0,0.7832,0.0277
SVM,SVM-rbf C=0.1 gamma=0.01,0.03,0.7828,0.0315
SVM,SVM-rbf C=1.0 gamma=0.001,0.03,0.7826,0.0358
RF,RF n=500 depth=None,0.3,0.7818,0.0331
LGBM,LGBM n=300 lr=0.1 leaves=31,3.0,0.7818,0.0325
RF,RF n=500 depth=10,0.3,0.781,0.0332
RF,RF n=500 depth=10,3.0,0.781,0.0289
LGBM,LGBM n=300 lr=0.05 leaves=15,3.0,0.7803,0.0289
LGBM,LGBM n=300 lr=0.1 leaves=31,1.0,0.7802,0.0333
LGBM,LGBM n=300 lr=0.1 leaves=15,1.0,0.7796,0.0329
SVM,SVM-rbf C=0.1 gamma=0.001,0.03,0.7793,0.0348
SVM,SVM-rbf C=1.0 gamma=0.001,1.0,0.7793,0.0319
SVM,SVM-rbf C=1.0 gamma=0.001,3.0,0.7786,0.0262
LR,LR C=0.01,3.0,0.7782,0.0171
LR,LR C=0.01,1.0,0.7781,0.0186
LGBM,LGBM n=300 lr=0.1 leaves=15,3.0,0.7781,0.0332
SVM,SVM-rbf C=0.1 gamma=scale,0.03,0.7775,0.0238
RF,RF n=500 depth=None,3.0,0.7774,0.0276
LGBM,LGBM n=300 lr=0.05 leaves=31,1.0,0.776,0.034
SVM,SVM-rbf C=1.0 gamma=0.001,0.3,0.7758,0.032
LGBM,LGBM n=300 lr=0.05 leaves=31,0.1,0.7757,0.0251
SVM,SVM-rbf C=1.0 gamma=0.001,0.1,0.7755,0.0325
SVM,SVM-rbf C=1.0 gamma=scale,1.0,0.7753,0.024
SVM,SVM-rbf C=0.1 gamma=0.01,0.1,0.7753,0.0317
LGBM,LGBM n=300 lr=0.05 leaves=15,1.0,0.7753,0.0308
LR,LR C=0.01,0.3,0.7744,0.024
SVM,SVM-rbf C=0.1 gamma=scale,0.1,0.7739,0.0304
SVM,SVM-rbf C=0.1 gamma=0.001,0.1,0.7739,0.0341
LGBM,LGBM n=300 lr=0.1 leaves=15,0.3,0.7738,0.0337
LGBM,LGBM n=300 lr=0.1 leaves=31,0.1,0.7733,0.0347
LGBM,LGBM n=300 lr=0.1 leaves=31,0.3,0.7729,0.0387
SVM,SVM-rbf C=0.1 gamma=0.001,1.0,0.7724,0.0333
LGBM,LGBM n=300 lr=0.05 leaves=31,0.3,0.7724,0.0385
SVM,SVM-rbf C=1.0 gamma=scale,3.0,0.772,0.0185
SVM,SVM-rbf C=1.0 gamma=scale,0.3,0.7718,0.0236
SVM,SVM-rbf C=0.1 gamma=scale,1.0,0.7717,0.0289
SVM,SVM-rbf C=0.1 gamma=0.001,0.3,0.771,0.0322
SVM,SVM-rbf C=1.0 gamma=0.01,0.1,0.7706,0.0245
RF,RF n=500 depth=10,0.03,0.77,0.0327
LGBM,LGBM n=300 lr=0.05 leaves=15,0.1,0.7699,0.0291
LR,LR C=0.01,0.1,0.7698,0.0266
RF,RF n=500 depth=None,0.03,0.7697,0.0306
SVM,SVM-rbf C=0.1 gamma=scale,3.0,0.7697,0.0253
SVM,SVM-rbf C=0.1 gamma=0.001,3.0,0.7696,0.03
SVM,SVM-rbf C=1.0 gamma=scale,0.1,0.7694,0.0233
SVM,SVM-rbf C=1.0 gamma=scale,0.03,0.769,0.018
LGBM,LGBM n=300 lr=0.05 leaves=15,0.3,0.7674,0.0302
SVM,SVM-rbf C=10.0 gamma=0.01,0.03,0.7673,0.0282
SVM,SVM-rbf C=0.1 gamma=scale,0.3,0.7649,0.0336
SVM,SVM-rbf C=1.0 gamma=0.01,0.3,0.7645,0.0275
SVM,SVM-rbf C=0.1 gamma=0.01,0.3,0.7633,0.0375
