feature,median_rel_drift
wavelet-HHL_glszm_SizeZoneNonUniformity,0.0
wavelet-HHH_glszm_GrayLevelNonUniformity,0.0
wavelet-HHH_glszm_ZoneEntropy,0.0
wavelet-HHH_glszm_GrayLevelVariance,0.0
wavelet-HHH_glszm_SizeZoneNonUniformityNormalized,0.0
log-sigma-5-0-mm-3D_glszm_SizeZoneNonUniformity,0.0
wavelet-HHH_glszm_GrayLevelNonUniformityNormalized,0.0
wavelet-HHH_glszm_SmallAreaEmphasis,1.1230979861267335e-06
wavelet-HHH_firstorder_Variance,0.03440555676865868
wavelet-HHH_firstorder_InterquartileRange,0.040684780624059586
wavelet-HHL_glcm_DifferenceEntropy,0.041242366885013156
wavelet-HHL_glcm_Imc1,0.041287128981396345
wavelet-LHH_firstorder_Variance,0.04154624597766193
wavelet-HHL_glcm_DifferenceVariance,0.04234993508245759
wavelet-HHL_glcm_JointEntropy,0.04235613057799601
wavelet-HHH_firstorder_RobustMeanAbsoluteDeviation,0.042685202986823045
wavelet-HHL_glcm_JointEnergy,0.043216229346927586
wavelet-HHH_glszm_SmallAreaHighGrayLevelEmphasis,0.0435200591695915
wavelet-HHH_firstorder_10Percentile,0.04666056814225128
wavelet-HHH_firstorder_90Percentile,0.047811538232393716
original_glszm_HighGrayLevelZoneEmphasis,0.049439639681427075
original_glszm_LowGrayLevelZoneEmphasis,0.0494396396814272
wavelet-LHH_firstorder_InterquartileRange,0.05023891346156055
wavelet-HHH_firstorder_MeanAbsoluteDeviation,0.05061898196372588
wavelet-LHH_firstorder_RobustMeanAbsoluteDeviation,0.0521525221454945
wavelet-HLH_firstorder_Variance,0.0585695126793204
wavelet-HHH_firstorder_RootMeanSquared,0.05936629998065752
wavelet-LHH_firstorder_90Percentile,0.060966132784619265
wavelet-HLL_glcm_Imc1,0.061066224943139215
wavelet-LHH_firstorder_10Percentile,0.06250269753319526
wavelet-HLL_glcm_DifferenceEntropy,0.06269632352455602
wavelet-HLL_glcm_DifferenceVariance,0.06387466509741933
wavelet-HLH_firstorder_InterquartileRange,0.06568517952120526
wavelet-HLH_firstorder_RobustMeanAbsoluteDeviation,0.06698498297467108
wavelet-LHH_firstorder_MeanAbsoluteDeviation,0.06729555800792394
