family,model,l1_C,cv_auc_mean,cv_auc_std
SVM,SVM-rbf C=10.0 gamma=0.001,0.03,0.7667,0.041
SVM,SVM-rbf C=0.1 gamma=0.001,3.0,0.7663,0.0461
SVM,SVM-linear C=0.01,0.03,0.7654,0.0389
SVM,SVM-linear C=1.0,0.03,0.765,0.0433
SVM,SVM-rbf C=1.0 gamma=0.001,0.03,0.7643,0.035
SVM,SVM-linear C=10.0,0.03,0.764,0.0437
RF,RF n=500 depth=None,3.0,0.7632,0.0433
RF,RF n=500 depth=10,3.0,0.7632,0.0444
SVM,SVM-rbf C=0.1 gamma=0.01,0.03,0.7631,0.033
SVM,SVM-rbf C=1.0 gamma=0.001,3.0,0.7631,0.0477
SVM,SVM-rbf C=1.0 gamma=0.01,0.03,0.7631,0.0419
SVM,SVM-rbf C=0.1 gamma=scale,3.0,0.7625,0.0457
LR,LR C=0.01,0.03,0.7624,0.0361
RF,RF n=500 depth=None,1.0,0.7621,0.0414
SVM,SVM-rbf C=0.1 gamma=0.001,0.03,0.7612,0.0325
RF,RF n=500 depth=10,1.0,0.7611,0.0431
SVM,SVM-rbf C=1.0 gamma=0.001,0.3,0.761,0.0421
LR,LR C=0.1,0.03,0.7595,0.0388
SVM,SVM-rbf C=0.1 gamma=0.001,0.3,0.7593,0.0406
SVM,SVM-rbf C=0.1 gamma=0.001,1.0,0.7587,0.041
SVM,SVM-rbf C=0.1 gamma=scale,0.03,0.7579,0.0373
LR,LR C=1.0,0.03,0.7574,0.0407
LR,LR C=10.0,0.03,0.7571,0.0413
SVM,SVM-rbf C=0.1 gamma=scale,0.3,0.7568,0.0389
SVM,SVM-rbf C=1.0 gamma=0.001,1.0,0.7564,0.0457
SVM,SVM-rbf C=0.1 gamma=0.001,0.1,0.7562,0.0355
SVM,SVM-rbf C=0.1 gamma=scale,1.0,0.7549,0.0393
SVM,SVM-rbf C=1.0 gamma=0.001,0.1,0.7545,0.0395
RF,RF n=500 depth=10,0.3,0.7536,0.0412
RF,RF n=500 depth=10,0.1,0.7524,0.0364
RF,RF n=500 depth=None,0.1,0.7519,0.0388
SVM,SVM-rbf C=1.0 gamma=scale,3.0,0.7518,0.0447
RF,RF n=500 depth=None,0.3,0.7512,0.0399
SVM,SVM-rbf C=0.1 gamma=0.01,0.3,0.7495,0.0384
SVM,SVM-rbf C=0.1 gamma=0.01,0.1,0.7489,0.0369
LGBM,LGBM n=300 lr=0.1 leaves=31,1.0,0.7473,0.0235
SVM,SVM-rbf C=0.1 gamma=scale,0.1,0.7469,0.0372
RF,RF n=500 depth=10,0.03,0.7467,0.0419
SVM,SVM-rbf C=10.0 gamma=0.01,0.03,0.7464,0.0443
LGBM,LGBM n=300 lr=0.05 leaves=31,3.0,0.7463,0.0361
SVM,SVM-rbf C=1.0 gamma=scale,1.0,0.7443,0.0382
SVM,SVM-rbf C=1.0 gamma=scale,0.3,0.7439,0.0362
LGBM,LGBM n=300 lr=0.05 leaves=31,1.0,0.7437,0.0261
LGBM,LGBM n=300 lr=0.1 leaves=31,3.0,0.7432,0.0354
LGBM,LGBM n=300 lr=0.05 leaves=15,3.0,0.743,0.0348
RF,RF n=500 depth=None,0.03,0.7426,0.0428
LGBM,LGBM n=300 lr=0.05 leaves=15,1.0,0.7423,0.0328
SVM,SVM-rbf C=1.0 gamma=scale,0.03,0.7413,0.0323
LGBM,LGBM n=300 lr=0.1 leaves=15,3.0,0.7395,0.0321
SVM,SVM-rbf C=0.1 gamma=scale,0.01,0.7393,0.0236
LR,LR C=0.01,3.0,0.7377,0.0447
LGBM,LGBM n=300 lr=0.1 leaves=15,1.0,0.7377,0.0234
SVM,SVM-rbf C=10.0 gamma=0.01,0.01,0.7376,0.0386
SVM,SVM-rbf C=1.0 gamma=0.01,0.3,0.7374,0.0345
SVM,SVM-rbf C=1.0 gamma=0.01,0.1,0.7374,0.0386
SVM,SVM-rbf C=0.1 gamma=0.01,3.0,0.7367,0.0462
LR,LR C=0.01,0.1,0.7366,0.0373
LR,LR C=0.01,1.0,0.7354,0.0443
SVM,SVM-linear C=0.01,0.1,0.7352,0.038
LR,LR C=0.01,0.3,0.7351,0.0409
SVM,SVM-linear C=10.0,0.01,0.7349,0.0354
SVM,SVM-linear C=1.0,0.01,0.7349,0.0354
SVM,SVM-rbf C=10.0 gamma=0.001,0.01,0.7348,0.0354
SVM,SVM-rbf C=0.1 gamma=0.001,0.01,0.7347,0.0354
SVM,SVM-rbf C=1.0 gamma=0.01,0.01,0.7347,0.0355
SVM,SVM-rbf C=1.0 gamma=0.001,0.01,0.7346,0.0353
SVM,SVM-rbf C=0.1 gamma=0.01,0.01,0.7345,0.0352
SVM,SVM-linear C=0.01,0.01,0.7345,0.0352
SVM,SVM-rbf C=0.1 gamma=0.01,1.0,0.7342,0.0398
SVM,SVM-rbf C=1.0 gamma=scale,0.1,0.734,0.0379
LR,LR C=0.01,0.01,0.7331,0.0344
LR,LR C=0.1,0.01,0.7322,0.0341
LR,LR C=10.0,0.01,0.7319,0.034
LR,LR C=1.0,0.01,0.7319,0.034
LGBM,LGBM n=300 lr=0.1 leaves=31,0.3,0.7315,0.0299
LGBM,LGBM n=300 lr=0.05 leaves=31,0.3,0.7301,0.0269
SVM,SVM-rbf C=1.0 gamma=0.01,3.0,0.7289,0.0485
LGBM,LGBM n=300 lr=0.05 leaves=15,0.3,0.7283,0.0275
LGBM,LGBM n=300 lr=0.1 leaves=15,0.3,0.7276,0.029
SVM,SVM-rbf C=10.0 gamma=0.001,0.1,0.7255,0.0378
SVM,SVM-rbf C=1.0 gamma=0.01,1.0,0.7249,0.0438
SVM,SVM-rbf C=1.0 gamma=scale,0.01,0.7242,0.0261
SVM,SVM-linear C=0.01,0.3,0.7242,0.0377
