family,model,l1_C,cv_auc_mean,cv_auc_std
SVM,SVM-rbf C=1.0 gamma=0.001,0.1,0.8438,0.0178
SVM,SVM-rbf C=0.1 gamma=0.001,0.1,0.8431,0.0154
SVM,SVM-rbf C=0.1 gamma=0.01,0.1,0.841,0.0208
LR,LR C=0.01,0.1,0.8385,0.0159
SVM,SVM-rbf C=1.0 gamma=0.001,0.3,0.8385,0.0248
SVM,SVM-rbf C=0.1 gamma=scale,0.1,0.8383,0.0216
SVM,SVM-rbf C=1.0 gamma=0.001,3.0,0.8376,0.0287
LR,LR C=0.1,0.03,0.8366,0.0233
SVM,SVM-rbf C=10.0 gamma=0.001,0.03,0.8364,0.0242
SVM,SVM-linear C=0.01,0.03,0.8364,0.0249
LR,LR C=10.0,0.03,0.8363,0.0235
LR,LR C=1.0,0.03,0.8363,0.0233
LR,LR C=0.01,0.03,0.8361,0.0258
SVM,SVM-linear C=1.0,0.03,0.8356,0.025
SVM,SVM-rbf C=0.1 gamma=0.01,0.03,0.8353,0.0234
SVM,SVM-rbf C=1.0 gamma=0.01,0.03,0.8353,0.0244
SVM,SVM-rbf C=1.0 gamma=scale,0.3,0.8351,0.0312
RF,RF n=500 depth=None,0.3,0.8351,0.0225
SVM,SVM-rbf C=1.0 gamma=0.001,1.0,0.8345,0.0257
SVM,SVM-linear C=10.0,0.03,0.8345,0.0257
SVM,SVM-rbf C=10.0 gamma=0.001,0.1,0.8341,0.0169
SVM,SVM-linear C=0.01,0.1,0.834,0.0169
SVM,SVM-rbf C=1.0 gamma=0.001,0.03,0.8338,0.0251
RF,RF n=500 depth=10,0.3,0.8337,0.0226
SVM,SVM-rbf C=1.0 gamma=0.01,0.1,0.8336,0.0163
SVM,SVM-rbf C=0.1 gamma=0.001,0.3,0.833,0.0219
RF,RF n=500 depth=None,0.1,0.8328,0.0192
RF,RF n=500 depth=10,0.1,0.832,0.018
LR,LR C=0.01,0.3,0.8317,0.0223
SVM,SVM-rbf C=0.1 gamma=0.001,0.03,0.8316,0.0256
LR,LR C=0.01,3.0,0.8313,0.0219
RF,RF n=500 depth=None,3.0,0.8308,0.031
SVM,SVM-rbf C=1.0 gamma=scale,3.0,0.8307,0.0358
RF,RF n=500 depth=10,3.0,0.8305,0.0303
SVM,SVM-linear C=0.01,0.3,0.8304,0.0192
RF,RF n=500 depth=None,1.0,0.8302,0.0298
SVM,SVM-rbf C=1.0 gamma=scale,0.1,0.8299,0.0162
SVM,SVM-rbf C=0.1 gamma=scale,0.3,0.8299,0.023
RF,RF n=500 depth=10,1.0,0.8292,0.0287
SVM,SVM-rbf C=1.0 gamma=scale,1.0,0.8289,0.0319
SVM,SVM-rbf C=1.0 gamma=0.01,0.3,0.828,0.0325
LR,LR C=0.01,1.0,0.8278,0.0216
SVM,SVM-rbf C=0.1 gamma=0.001,1.0,0.8275,0.0214
LGBM,LGBM n=300 lr=0.1 leaves=31,0.3,0.8274,0.0277
SVM,SVM-rbf C=0.1 gamma=0.001,3.0,0.8271,0.025
LR,LR C=0.1,0.1,0.827,0.017
LGBM,LGBM n=300 lr=0.05 leaves=31,0.3,0.8266,0.0288
LGBM,LGBM n=300 lr=0.1 leaves=31,3.0,0.826,0.0351
LGBM,LGBM n=300 lr=0.1 leaves=31,1.0,0.8253,0.0283
LGBM,LGBM n=300 lr=0.1 leaves=15,3.0,0.8249,0.0338
LGBM,LGBM n=300 lr=0.05 leaves=15,3.0,0.8248,0.0367
SVM,SVM-rbf C=0.1 gamma=scale,0.03,0.8248,0.0247
LGBM,LGBM n=300 lr=0.1 leaves=15,1.0,0.8243,0.03
LGBM,LGBM n=300 lr=0.1 leaves=15,0.3,0.824,0.0286
SVM,SVM-rbf C=10.0 gamma=0.001,0.3,0.8239,0.0216
LGBM,LGBM n=300 lr=0.05 leaves=15,0.3,0.8237,0.0296
LGBM,LGBM n=300 lr=0.05 leaves=31,3.0,0.8234,0.0303
SVM,SVM-rbf C=0.1 gamma=0.01,0.3,0.8233,0.0264
LGBM,LGBM n=300 lr=0.05 leaves=15,1.0,0.823,0.0258
LGBM,LGBM n=300 lr=0.05 leaves=31,1.0,0.8226,0.0263
SVM,SVM-rbf C=0.1 gamma=scale,1.0,0.8226,0.0271
RF,RF n=500 depth=None,0.03,0.8224,0.0268
RF,RF n=500 depth=10,0.03,0.8223,0.0281
LGBM,LGBM n=300 lr=0.1 leaves=31,0.1,0.8217,0.0193
LGBM,LGBM n=300 lr=0.1 leaves=15,0.1,0.8197,0.0149
LGBM,LGBM n=300 lr=0.05 leaves=15,0.1,0.8194,0.0201
SVM,SVM-rbf C=0.1 gamma=scale,3.0,0.8193,0.0315
SVM,SVM-rbf C=10.0 gamma=0.01,0.03,0.8179,0.0125
SVM,SVM-linear C=0.01,1.0,0.8175,0.0219
LGBM,LGBM n=300 lr=0.05 leaves=31,0.1,0.8167,0.0174
SVM,SVM-rbf C=10.0 gamma=0.001,1.0,0.8166,0.0319
SVM,SVM-linear C=0.01,3.0,0.8166,0.0261
LR,LR C=1.0,0.1,0.8155,0.0189
SVM,SVM-rbf C=10.0 gamma=0.001,3.0,0.8149,0.0329
SVM,SVM-rbf C=1.0 gamma=scale,0.03,0.813,0.0209
SVM,SVM-rbf C=10.0 gamma=0.01,0.3,0.8118,0.0322
LGBM,LGBM n=300 lr=0.05 leaves=31,0.03,0.8114,0.0296
LR,LR C=10.0,0.1,0.8112,0.0201
SVM,SVM-linear C=1.0,0.1,0.8111,0.0192
SVM,SVM-linear C=10.0,0.1,0.8099,0.0197
LGBM,LGBM n=300 lr=0.1 leaves=31,0.03,0.8089,0.0263
LGBM,LGBM n=300 lr=0.05 leaves=15,0.03,0.8076,0.0317
SVM,SVM-rbf C=10.0 gamma=scale,0.3,0.8065,0.0301
LR,LR C=0.1,0.3,0.8065,0.0229
SVM,SVM-rbf C=10.0 gamma=scale,3.0,0.8064,0.0418
SVM,SVM-rbf C=1.0 gamma=0.01,1.0,0.8058,0.0376
SVM,SVM-rbf C=10.0 gamma=0.01,1.0,0.8057,0.0406
SVM,SVM-rbf C=10.0 gamma=scale,1.0,0.8057,0.0387
LGBM,LGBM n=300 lr=0.1 leaves=15,0.03,0.8052,0.0266
SVM,SVM-rbf C=0.1 gamma=0.01,1.0,0.8044,0.0387
SVM,SVM-rbf C=10.0 gamma=0.01,3.0,0.7998,0.0394
SVM,SVM-rbf C=0.1 gamma=0.01,3.0,0.7982,0.0444
SVM,SVM-rbf C=0.1 gamma=0.001,0.01,0.7981,0.0239
SVM,SVM-rbf C=1.0 gamma=0.01,3.0,0.7969,0.0413
SVM,SVM-rbf C=1.0 gamma=0.001,0.01,0.7969,0.024
SVM,SVM-rbf C=0.1 gamma=0.01,0.01,0.7968,0.0239
SVM,SVM-linear C=0.01,0.01,0.7963,0.025
LR,LR C=0.1,1.0,0.7959,0.0256
SVM,SVM-rbf C=1.0 gamma=0.01,0.01,0.7958,0.0245
LR,LR C=0.01,0.01,0.7952,0.0245
SVM,SVM-rbf C=10.0 gamma=0.001,0.01,0.795,0.025
SVM,SVM-linear C=10.0,0.01,0.7945,0.0258
SVM,SVM-linear C=1.0,0.01,0.7941,0.0261
LR,LR C=0.1,3.0,0.7939,0.0264
SVM,SVM-rbf C=10.0 gamma=0.01,0.01,0.793,0.0301
LR,LR C=0.1,0.01,0.7919,0.0232
LR,LR C=1.0,0.01,0.7899,0.023
SVM,SVM-rbf C=0.1 gamma=scale,0.01,0.7898,0.0164
LR,LR C=10.0,0.01,0.7897,0.0229
RF,RF n=500 depth=10,0.01,0.7873,0.0153
SVM,SVM-rbf C=10.0 gamma=0.01,0.1,0.787,0.0077
RF,RF n=500 depth=None,0.01,0.7841,0.014
LR,LR C=1.0,0.3,0.7818,0.021
SVM,SVM-rbf C=1.0 gamma=scale,0.01,0.7816,0.0286
SVM,SVM-rbf C=10.0 gamma=scale,0.1,0.7809,0.0061
SVM,SVM-linear C=1.0,0.3,0.7786,0.0212
SVM,SVM-rbf C=10.0 gamma=scale,0.03,0.7723,0.0093
SVM,SVM-rbf C=10.0 gamma=scale,0.01,0.772,0.0286
LR,LR C=10.0,0.3,0.7664,0.0204
SVM,SVM-linear C=10.0,0.3,0.7644,0.0238
DT,DT depth=5 msl=30,0.01,0.7643,0.0092
DT,DT depth=None msl=30,0.01,0.7626,0.0103
LR,LR C=1.0,1.0,0.7601,0.0323
LGBM,LGBM n=300 lr=0.05 leaves=15,0.01,0.76,0.0202
LR,LR C=1.0,3.0,0.7583,0.0371
LGBM,LGBM n=300 lr=0.05 leaves=31,0.01,0.7539,0.0159
DT,DT depth=5 msl=10,0.03,0.7537,0.048
DT,DT depth=3 msl=30,0.01,0.7514,0.018
LGBM,LGBM n=300 lr=0.1 leaves=31,0.01,0.75,0.0177
DT,DT depth=5 msl=10,0.01,0.7493,0.0352
LGBM,LGBM n=300 lr=0.1 leaves=15,0.01,0.7476,0.0208
DT,DT depth=5 msl=30,0.03,0.7476,0.0235
LR,LR C=10.0,3.0,0.7461,0.0394
SVM,SVM-linear C=1.0,1.0,0.7443,0.0324
DT,DT depth=5 msl=10,1.0,0.7437,0.0318
DT,DT depth=None msl=30,0.03,0.7435,0.0224
LR,LR C=10.0,1.0,0.7424,0.0349
DT,DT depth=None msl=10,0.03,0.7417,0.045
DT,DT depth=3 msl=10,0.01,0.7415,0.0083
SVM,SVM-linear C=10.0,3.0,0.741,0.0416
DT,DT depth=5 msl=30,1.0,0.7397,0.0504
SVM,SVM-linear C=1.0,3.0,0.7396,0.0409
DT,DT depth=5 msl=10,0.1,0.7393,0.0177
DT,DT depth=3 msl=10,1.0,0.7369,0.0215
DT,DT depth=None msl=30,1.0,0.7369,0.0413
DT,DT depth=3 msl=30,0.1,0.7365,0.0264
DT,DT depth=3 msl=10,3.0,0.7358,0.0318
DT,DT depth=None msl=30,0.1,0.7357,0.0447
SVM,SVM-linear C=10.0,1.0,0.7345,0.0383
DT,DT depth=5 msl=10,3.0,0.7343,0.0323
DT,DT depth=3 msl=30,1.0,0.7336,0.0502
DT,DT depth=5 msl=30,0.1,0.7333,0.04
DT,DT depth=3 msl=10,0.1,0.7314,0.0307
DT,DT depth=3 msl=30,3.0,0.7301,0.0484
DT,DT depth=None msl=10,0.01,0.7299,0.0143
