model,l1_C,cv_auc_mean,cv_auc_std,folds
SVM-rbf C=10.0 gamma=0.001,0.03,0.7667,0.041,"[0.7137, 0.7662, 0.733, 0.8285, 0.7923]"
SVM-rbf C=0.1 gamma=0.001,3.0,0.7663,0.0461,"[0.7051, 0.7627, 0.7309, 0.8338, 0.7991]"
SVM-linear C=0.1,0.03,0.766,0.0424,"[0.7128, 0.7703, 0.7258, 0.8274, 0.7939]"
SVM-linear C=0.01,0.03,0.7654,0.0389,"[0.7157, 0.7676, 0.7315, 0.8236, 0.7886]"
SVM-linear C=1.0,0.03,0.765,0.0433,"[0.7089, 0.7702, 0.7253, 0.8258, 0.7951]"
RF n=1000 depth=10,3.0,0.7645,0.044,"[0.7044, 0.7641, 0.7291, 0.8229, 0.8019]"
SVM-rbf C=1.0 gamma=0.001,0.03,0.7643,0.035,"[0.7205, 0.7636, 0.7354, 0.8193, 0.7827]"
SVM-linear C=10.0,0.03,0.764,0.0437,"[0.7062, 0.7679, 0.7256, 0.825, 0.7953]"
RF n=1000 depth=None,3.0,0.7639,0.0428,"[0.7038, 0.771, 0.7285, 0.8217, 0.7942]"
RF n=500 depth=None,3.0,0.7632,0.0433,"[0.7032, 0.771, 0.726, 0.8209, 0.7948]"
RF n=500 depth=10,3.0,0.7632,0.0444,"[0.6993, 0.766, 0.7292, 0.8183, 0.8029]"
SVM-rbf C=0.1 gamma=0.01,0.03,0.7631,0.033,"[0.7195, 0.7544, 0.7446, 0.8161, 0.781]"
SVM-rbf C=1.0 gamma=0.01,0.03,0.7631,0.0419,"[0.7051, 0.7618, 0.7342, 0.8256, 0.7889]"
SVM-rbf C=1.0 gamma=0.001,3.0,0.7631,0.0477,"[0.6874, 0.7612, 0.7431, 0.827, 0.7967]"
SVM-rbf C=0.1 gamma=scale,3.0,0.7625,0.0457,"[0.7126, 0.7685, 0.7109, 0.8292, 0.7911]"
LR C=0.01,0.03,0.7624,0.0361,"[0.7157, 0.7708, 0.7315, 0.8183, 0.776]"
RF n=500 depth=None,1.0,0.7621,0.0414,"[0.7025, 0.7542, 0.7379, 0.8168, 0.7991]"
RF n=1000 depth=None,1.0,0.7619,0.0441,"[0.6993, 0.7557, 0.7334, 0.8207, 0.8005]"
SVM-rbf C=0.1 gamma=0.001,0.03,0.7612,0.0325,"[0.7192, 0.7578, 0.742, 0.8162, 0.771]"
RF n=500 depth=10,1.0,0.7611,0.0431,"[0.7048, 0.7515, 0.7315, 0.826, 0.7919]"
SVM-rbf C=1.0 gamma=0.001,0.3,0.761,0.0421,"[0.6969, 0.7417, 0.754, 0.8178, 0.7946]"
RF n=1000 depth=10,1.0,0.7597,0.0447,"[0.6993, 0.7508, 0.7308, 0.826, 0.7915]"
LR C=0.1,0.03,0.7595,0.0388,"[0.7091, 0.7701, 0.7229, 0.8149, 0.7806]"
SVM-rbf C=0.1 gamma=0.001,0.3,0.7593,0.0406,"[0.701, 0.7482, 0.7412, 0.8199, 0.7863]"
SVM-rbf C=0.1 gamma=0.001,1.0,0.7587,0.041,"[0.7026, 0.7581, 0.7262, 0.8138, 0.7926]"
SVM-rbf C=0.1 gamma=scale,0.03,0.7579,0.0373,"[0.707, 0.7626, 0.7359, 0.8198, 0.7644]"
LR C=1.0,0.03,0.7574,0.0407,"[0.7058, 0.7694, 0.7162, 0.814, 0.7815]"
LR C=10.0,0.03,0.7571,0.0413,"[0.7039, 0.7689, 0.7162, 0.8144, 0.7818]"
SVM-rbf C=0.1 gamma=scale,0.3,0.7568,0.0389,"[0.7121, 0.7549, 0.7231, 0.8215, 0.7724]"
SVM-rbf C=1.0 gamma=0.001,1.0,0.7564,0.0457,"[0.6832, 0.7497, 0.7402, 0.8142, 0.7945]"
SVM-rbf C=0.1 gamma=0.001,0.1,0.7562,0.0355,"[0.7085, 0.752, 0.7323, 0.8108, 0.7774]"
SVM-rbf C=0.1 gamma=scale,1.0,0.7549,0.0393,"[0.7116, 0.7564, 0.7117, 0.8108, 0.7841]"
SVM-rbf C=1.0 gamma=0.001,0.1,0.7545,0.0395,"[0.6921, 0.7537, 0.7379, 0.8094, 0.7793]"
RF n=1000 depth=10,0.3,0.7542,0.0413,"[0.6991, 0.7458, 0.7255, 0.8138, 0.7865]"
RF n=500 depth=10,0.3,0.7536,0.0412,"[0.6973, 0.7462, 0.7265, 0.8132, 0.785]"
RF n=500 depth=10,0.1,0.7524,0.0364,"[0.7053, 0.7533, 0.7197, 0.8024, 0.7812]"
RF n=1000 depth=10,0.1,0.7522,0.0359,"[0.705, 0.7516, 0.7224, 0.8036, 0.7782]"
RF n=500 depth=None,0.1,0.7519,0.0388,"[0.7023, 0.7573, 0.7138, 0.8033, 0.7827]"
RF n=1000 depth=None,0.3,0.7519,0.0426,"[0.6961, 0.7469, 0.7187, 0.8132, 0.7844]"
SVM-rbf C=1.0 gamma=scale,3.0,0.7518,0.0447,"[0.6822, 0.761, 0.7284, 0.8161, 0.7713]"
RF n=500 depth=None,0.3,0.7512,0.0399,"[0.699, 0.7432, 0.7223, 0.809, 0.7825]"
RF n=1000 depth=None,0.1,0.7506,0.0389,"[0.6998, 0.7515, 0.7163, 0.8039, 0.7816]"
SVM-rbf C=0.1 gamma=0.01,0.3,0.7495,0.0384,"[0.7038, 0.7441, 0.7248, 0.8171, 0.7579]"
SVM-rbf C=0.1 gamma=0.01,0.1,0.7489,0.0369,"[0.7082, 0.7552, 0.713, 0.8101, 0.7582]"
LGBM n=300 lr=0.1 leaves=31,1.0,0.7473,0.0235,"[0.7067, 0.7585, 0.7356, 0.7682, 0.7678]"
SVM-rbf C=0.1 gamma=scale,0.1,0.7469,0.0372,"[0.7104, 0.7585, 0.7075, 0.8092, 0.7489]"
RF n=500 depth=10,0.03,0.7467,0.0419,"[0.6759, 0.7747, 0.7238, 0.7913, 0.7678]"
RF n=1000 depth=10,0.03,0.7465,0.0404,"[0.6773, 0.7737, 0.7253, 0.7875, 0.7685]"
SVM-rbf C=10.0 gamma=0.01,0.03,0.7464,0.0443,"[0.6831, 0.7624, 0.7113, 0.8092, 0.7659]"
