model,l1_C,cv_auc_mean,cv_auc_std,folds
SVM-rbf C=1.0 gamma=0.001,0.1,0.8438,0.0178,"[0.8474, 0.8274, 0.8574, 0.8672, 0.8198]"
SVM-rbf C=0.1 gamma=0.001,0.1,0.8431,0.0154,"[0.845, 0.8311, 0.8547, 0.8638, 0.8211]"
SVM-rbf C=0.1 gamma=0.01,0.1,0.841,0.0208,"[0.8424, 0.8188, 0.852, 0.8732, 0.8185]"
LR C=0.01,0.1,0.8385,0.0159,"[0.8337, 0.827, 0.8491, 0.8634, 0.8192]"
SVM-rbf C=1.0 gamma=0.001,0.3,0.8385,0.0248,"[0.8506, 0.8234, 0.8619, 0.8595, 0.7971]"
SVM-rbf C=0.1 gamma=scale,0.1,0.8383,0.0216,"[0.8388, 0.8144, 0.8463, 0.874, 0.8181]"
SVM-rbf C=1.0 gamma=0.001,3.0,0.8376,0.0287,"[0.8422, 0.8212, 0.8514, 0.8793, 0.7939]"
LR C=0.1,0.03,0.8366,0.0233,"[0.8234, 0.8145, 0.8472, 0.8776, 0.8202]"
SVM-linear C=0.01,0.03,0.8364,0.0249,"[0.8219, 0.82, 0.846, 0.881, 0.8133]"
SVM-rbf C=10.0 gamma=0.001,0.03,0.8364,0.0242,"[0.8255, 0.8181, 0.8436, 0.8803, 0.8143]"
LR C=1.0,0.03,0.8363,0.0233,"[0.8221, 0.814, 0.8443, 0.8783, 0.823]"
LR C=10.0,0.03,0.8363,0.0235,"[0.8214, 0.8133, 0.8446, 0.8786, 0.8237]"
LR C=0.01,0.03,0.8361,0.0258,"[0.8188, 0.819, 0.8474, 0.8819, 0.8137]"
RF n=1000 depth=None,0.3,0.8359,0.0242,"[0.8237, 0.8109, 0.8546, 0.8738, 0.8167]"
SVM-linear C=1.0,0.03,0.8356,0.025,"[0.8198, 0.8114, 0.8446, 0.8805, 0.8218]"
SVM-rbf C=0.1 gamma=0.01,0.03,0.8353,0.0234,"[0.8179, 0.8234, 0.8439, 0.8773, 0.8138]"
SVM-rbf C=1.0 gamma=0.01,0.03,0.8353,0.0244,"[0.8255, 0.8209, 0.8443, 0.8782, 0.8078]"
SVM-rbf C=1.0 gamma=scale,0.3,0.8351,0.0312,"[0.8422, 0.8128, 0.8655, 0.8679, 0.787]"
RF n=500 depth=None,0.3,0.8351,0.0225,"[0.8237, 0.8133, 0.8545, 0.8691, 0.815]"
SVM-linear C=0.1,0.03,0.8348,0.0236,"[0.821, 0.8144, 0.842, 0.8779, 0.8188]"
SVM-linear C=10.0,0.03,0.8345,0.0257,"[0.8166, 0.8126, 0.8452, 0.8803, 0.8178]"
SVM-rbf C=1.0 gamma=0.001,1.0,0.8345,0.0257,"[0.8403, 0.8156, 0.8485, 0.8708, 0.7971]"
RF n=1000 depth=10,0.3,0.8344,0.0235,"[0.8219, 0.8103, 0.8508, 0.8723, 0.8168]"
SVM-rbf C=10.0 gamma=0.001,0.1,0.8341,0.0169,"[0.8253, 0.821, 0.8511, 0.8576, 0.8156]"
SVM-linear C=0.01,0.1,0.834,0.0169,"[0.8232, 0.8227, 0.8487, 0.8595, 0.8159]"
SVM-rbf C=1.0 gamma=0.001,0.03,0.8338,0.0251,"[0.8156, 0.8203, 0.8429, 0.879, 0.8114]"
RF n=500 depth=10,0.3,0.8337,0.0226,"[0.8188, 0.8126, 0.8506, 0.8699, 0.8164]"
SVM-rbf C=1.0 gamma=0.01,0.1,0.8336,0.0163,"[0.834, 0.8152, 0.8518, 0.8518, 0.8154]"
RF n=1000 depth=None,0.1,0.8332,0.0184,"[0.8256, 0.8184, 0.8309, 0.8691, 0.8221]"
SVM-rbf C=0.1 gamma=0.001,0.3,0.833,0.0219,"[0.8398, 0.8364, 0.8405, 0.8569, 0.7915]"
RF n=500 depth=None,0.1,0.8328,0.0192,"[0.8221, 0.8186, 0.8276, 0.8708, 0.8249]"
RF n=1000 depth=10,0.1,0.8322,0.0183,"[0.8256, 0.8166, 0.8316, 0.8674, 0.8201]"
RF n=500 depth=10,0.1,0.832,0.018,"[0.8239, 0.8205, 0.8303, 0.8672, 0.8183]"
LR C=0.01,0.3,0.8317,0.0223,"[0.8296, 0.8176, 0.8574, 0.855, 0.799]"
SVM-rbf C=0.1 gamma=0.001,0.03,0.8316,0.0256,"[0.8128, 0.8161, 0.8405, 0.8781, 0.8107]"
RF n=1000 depth=None,3.0,0.8315,0.0315,"[0.821, 0.8042, 0.8493, 0.8838, 0.799]"
LR C=0.01,3.0,0.8313,0.0219,"[0.8246, 0.8179, 0.8462, 0.865, 0.8026]"
RF n=1000 depth=10,3.0,0.831,0.03,"[0.8227, 0.8017, 0.8475, 0.8809, 0.8024]"
RF n=1000 depth=None,1.0,0.8309,0.0286,"[0.8256, 0.7985, 0.8509, 0.8747, 0.8049]"
RF n=500 depth=None,3.0,0.8308,0.031,"[0.8196, 0.8038, 0.8497, 0.8815, 0.799]"
SVM-rbf C=1.0 gamma=scale,3.0,0.8307,0.0358,"[0.8292, 0.8077, 0.8532, 0.8836, 0.7799]"
RF n=1000 depth=10,1.0,0.8305,0.0283,"[0.8222, 0.7976, 0.8508, 0.8744, 0.8076]"
RF n=500 depth=10,3.0,0.8305,0.0303,"[0.8224, 0.801, 0.8475, 0.8805, 0.8009]"
SVM-linear C=0.01,0.3,0.8304,0.0192,"[0.8233, 0.8239, 0.8538, 0.8494, 0.8014]"
RF n=500 depth=None,1.0,0.8302,0.0298,"[0.8219, 0.8024, 0.8457, 0.88, 0.8008]"
SVM-rbf C=1.0 gamma=scale,0.1,0.8299,0.0162,"[0.8292, 0.812, 0.846, 0.8503, 0.8123]"
SVM-rbf C=0.1 gamma=scale,0.3,0.8299,0.023,"[0.8318, 0.8166, 0.8429, 0.8631, 0.7953]"
RF n=500 depth=10,1.0,0.8292,0.0287,"[0.8219, 0.8002, 0.8446, 0.8769, 0.8026]"
SVM-rbf C=1.0 gamma=scale,1.0,0.8289,0.0319,"[0.8243, 0.8091, 0.8473, 0.8785, 0.7857]"
SVM-rbf C=1.0 gamma=0.01,0.3,0.828,0.0325,"[0.8304, 0.7986, 0.8619, 0.8646, 0.7843]"
LR C=0.01,1.0,0.8278,0.0216,"[0.8195, 0.8068, 0.8439, 0.8615, 0.8071]"
SVM-rbf C=0.1 gamma=0.001,1.0,0.8275,0.0214,"[0.829, 0.8212, 0.8315, 0.8614, 0.7946]"
LGBM n=300 lr=0.1 leaves=31,0.3,0.8274,0.0277,"[0.8226, 0.7915, 0.8446, 0.8703, 0.808]"
SVM-rbf C=0.1 gamma=0.001,3.0,0.8271,0.025,"[0.8284, 0.8226, 0.833, 0.865, 0.7867]"
LR C=0.1,0.1,0.827,0.017,"[0.8109, 0.8138, 0.8463, 0.8492, 0.8147]"
LGBM n=300 lr=0.05 leaves=31,0.3,0.8266,0.0288,"[0.8162, 0.7894, 0.8429, 0.8732, 0.8114]"
LGBM n=300 lr=0.1 leaves=31,3.0,0.826,0.0351,"[0.8212, 0.8089, 0.8352, 0.8856, 0.7791]"
LGBM n=300 lr=0.1 leaves=31,1.0,0.8253,0.0283,"[0.8166, 0.7997, 0.8118, 0.8803, 0.8183]"
LGBM n=300 lr=0.1 leaves=15,3.0,0.8249,0.0338,"[0.8191, 0.8074, 0.8378, 0.881, 0.7794]"
SVM-rbf C=0.1 gamma=scale,0.03,0.8248,0.0247,"[0.8021, 0.8181, 0.8308, 0.8696, 0.8035]"
LGBM n=300 lr=0.05 leaves=15,3.0,0.8248,0.0367,"[0.8181, 0.8036, 0.8388, 0.8863, 0.7774]"
LGBM n=300 lr=0.1 leaves=15,1.0,0.8243,0.03,"[0.8197, 0.8024, 0.8174, 0.8822, 0.7997]"
LGBM n=300 lr=0.1 leaves=15,0.3,0.824,0.0286,"[0.8224, 0.7832, 0.846, 0.8638, 0.8047]"
SVM-rbf C=10.0 gamma=0.001,0.3,0.8239,0.0216,"[0.8173, 0.8246, 0.8424, 0.8482, 0.787]"
LGBM n=300 lr=0.05 leaves=15,0.3,0.8237,0.0296,"[0.8191, 0.7839, 0.8373, 0.8718, 0.8066]"
