model,l1_C,cv_auc_mean,cv_auc_std,folds
RF n=1000 depth=10,1.0,0.787,0.0295,"[0.7475, 0.7687, 0.7768, 0.8255, 0.8168]"
RF n=1000 depth=10,0.1,0.7865,0.0314,"[0.741, 0.7672, 0.7836, 0.8301, 0.8105]"
SVM-rbf C=1.0 gamma=0.01,0.03,0.786,0.0329,"[0.7521, 0.7526, 0.7781, 0.8354, 0.8115]"
SVM-linear C=0.1,0.03,0.7859,0.0364,"[0.7501, 0.7446, 0.7805, 0.8378, 0.8164]"
RF n=1000 depth=None,0.1,0.7857,0.0321,"[0.7387, 0.7656, 0.7872, 0.8322, 0.8047]"
RF n=500 depth=10,0.1,0.7856,0.0299,"[0.7398, 0.7713, 0.7821, 0.826, 0.8086]"
LR C=0.1,0.03,0.7855,0.0328,"[0.7509, 0.7482, 0.7872, 0.8335, 0.8076]"
RF n=500 depth=None,0.1,0.7854,0.0319,"[0.7356, 0.7708, 0.7862, 0.8305, 0.8041]"
SVM-linear C=10.0,0.03,0.7853,0.0372,"[0.7492, 0.7432, 0.779, 0.8388, 0.8162]"
SVM-linear C=1.0,0.03,0.7851,0.0366,"[0.7489, 0.7444, 0.7786, 0.837, 0.8164]"
RF n=500 depth=10,1.0,0.7851,0.0295,"[0.7443, 0.7691, 0.7738, 0.8202, 0.818]"
RF n=1000 depth=None,1.0,0.7851,0.028,"[0.7456, 0.7668, 0.78, 0.819, 0.8142]"
SVM-linear C=0.01,0.03,0.7845,0.0365,"[0.7516, 0.7439, 0.7769, 0.8424, 0.8074]"
LR C=1.0,0.03,0.7842,0.0327,"[0.7485, 0.747, 0.787, 0.8303, 0.808]"
LR C=0.01,0.03,0.784,0.0335,"[0.7491, 0.7468, 0.7846, 0.8349, 0.8048]"
SVM-rbf C=10.0 gamma=0.001,0.03,0.784,0.0333,"[0.7526, 0.745, 0.7797, 0.8321, 0.8107]"
LR C=10.0,0.03,0.7837,0.0325,"[0.748, 0.7465, 0.7877, 0.8287, 0.8078]"
LGBM n=300 lr=0.05 leaves=31,3.0,0.7836,0.0305,"[0.748, 0.7662, 0.7672, 0.8038, 0.8327]"
RF n=500 depth=None,1.0,0.7832,0.0277,"[0.7479, 0.7634, 0.7733, 0.8155, 0.8158]"
SVM-rbf C=0.1 gamma=0.01,0.03,0.7828,0.0315,"[0.7518, 0.7489, 0.7774, 0.8313, 0.8045]"
RF n=1000 depth=10,3.0,0.7827,0.029,"[0.7547, 0.7535, 0.7703, 0.8197, 0.8152]"
SVM-rbf C=1.0 gamma=0.001,0.03,0.7826,0.0358,"[0.747, 0.7428, 0.779, 0.8366, 0.8076]"
RF n=1000 depth=None,0.3,0.7826,0.03,"[0.7458, 0.7554, 0.7786, 0.8222, 0.8111]"
RF n=1000 depth=10,0.3,0.7822,0.0315,"[0.7439, 0.7561, 0.7744, 0.8263, 0.8105]"
RF n=500 depth=None,0.3,0.7818,0.0331,"[0.7405, 0.7559, 0.7723, 0.8262, 0.814]"
LGBM n=300 lr=0.1 leaves=31,3.0,0.7818,0.0325,"[0.7484, 0.7614, 0.7605, 0.8039, 0.8347]"
RF n=500 depth=10,0.3,0.781,0.0332,"[0.74, 0.7525, 0.7761, 0.8285, 0.8078]"
RF n=500 depth=10,3.0,0.781,0.0289,"[0.753, 0.752, 0.7694, 0.8207, 0.8102]"
LGBM n=300 lr=0.05 leaves=15,3.0,0.7803,0.0289,"[0.7513, 0.7542, 0.767, 0.8055, 0.8233]"
LGBM n=300 lr=0.1 leaves=31,1.0,0.7802,0.0333,"[0.7421, 0.7463, 0.781, 0.8017, 0.8301]"
LGBM n=300 lr=0.1 leaves=15,1.0,0.7796,0.0329,"[0.746, 0.7472, 0.7715, 0.8026, 0.8309]"
RF n=1000 depth=None,3.0,0.7796,0.0262,"[0.7565, 0.7516, 0.768, 0.8147, 0.8071]"
SVM-rbf C=0.1 gamma=0.001,0.03,0.7793,0.0348,"[0.7448, 0.7383, 0.7803, 0.8308, 0.8026]"
SVM-rbf C=1.0 gamma=0.001,1.0,0.7793,0.0319,"[0.7326, 0.753, 0.7896, 0.8191, 0.8022]"
SVM-rbf C=1.0 gamma=0.001,3.0,0.7786,0.0262,"[0.7429, 0.7556, 0.7803, 0.8103, 0.8038]"
LR C=0.01,3.0,0.7782,0.0171,"[0.7533, 0.7663, 0.7778, 0.7991, 0.7943]"
LR C=0.01,1.0,0.7781,0.0186,"[0.7468, 0.7685, 0.7831, 0.7957, 0.7964]"
LGBM n=300 lr=0.1 leaves=15,3.0,0.7781,0.0332,"[0.7501, 0.7479, 0.7597, 0.7998, 0.8328]"
SVM-rbf C=0.1 gamma=scale,0.03,0.7775,0.0238,"[0.7612, 0.7747, 0.7458, 0.8145, 0.791]"
RF n=500 depth=None,3.0,0.7774,0.0276,"[0.7503, 0.7467, 0.7724, 0.8171, 0.8005]"
LGBM n=300 lr=0.05 leaves=31,1.0,0.776,0.034,"[0.7417, 0.733, 0.7805, 0.8051, 0.8195]"
SVM-rbf C=1.0 gamma=0.001,0.3,0.7758,0.032,"[0.7274, 0.76, 0.7697, 0.813, 0.8092]"
LGBM n=300 lr=0.05 leaves=31,0.1,0.7757,0.0251,"[0.7535, 0.7422, 0.7759, 0.8044, 0.8022]"
SVM-rbf C=1.0 gamma=0.001,0.1,0.7755,0.0325,"[0.7248, 0.7535, 0.7839, 0.8003, 0.8147]"
SVM-rbf C=0.1 gamma=0.01,0.1,0.7753,0.0317,"[0.7302, 0.7562, 0.7699, 0.8007, 0.8194]"
SVM-rbf C=1.0 gamma=scale,1.0,0.7753,0.024,"[0.7356, 0.7631, 0.7915, 0.8045, 0.7817]"
LGBM n=300 lr=0.05 leaves=15,1.0,0.7753,0.0308,"[0.7482, 0.7385, 0.7704, 0.7986, 0.8209]"
LR C=0.01,0.3,0.7744,0.024,"[0.7328, 0.7658, 0.7783, 0.7988, 0.796]"
SVM-rbf C=0.1 gamma=scale,0.1,0.7739,0.0304,"[0.7277, 0.7611, 0.7665, 0.8015, 0.8128]"
SVM-rbf C=0.1 gamma=0.001,0.1,0.7739,0.0341,"[0.7274, 0.7463, 0.7832, 0.7874, 0.8252]"
LGBM n=300 lr=0.1 leaves=15,0.3,0.7738,0.0337,"[0.7361, 0.7421, 0.767, 0.7998, 0.824]"
LGBM n=300 lr=0.1 leaves=31,0.1,0.7733,0.0347,"[0.7309, 0.7388, 0.775, 0.8003, 0.8214]"
LGBM n=300 lr=0.1 leaves=31,0.3,0.7729,0.0387,"[0.7296, 0.7398, 0.759, 0.8072, 0.829]"
LGBM n=300 lr=0.05 leaves=31,0.3,0.7724,0.0385,"[0.7419, 0.7333, 0.7489, 0.814, 0.824]"
SVM-rbf C=0.1 gamma=0.001,1.0,0.7724,0.0333,"[0.7253, 0.7571, 0.7585, 0.809, 0.8121]"
SVM-rbf C=1.0 gamma=scale,3.0,0.772,0.0185,"[0.7429, 0.7602, 0.7806, 0.7961, 0.7805]"
SVM-rbf C=1.0 gamma=scale,0.3,0.7718,0.0236,"[0.7359, 0.7617, 0.773, 0.8082, 0.7799]"
SVM-rbf C=0.1 gamma=scale,1.0,0.7717,0.0289,"[0.7339, 0.7601, 0.7562, 0.8156, 0.7927]"
SVM-rbf C=0.1 gamma=0.001,0.3,0.771,0.0322,"[0.7309, 0.7557, 0.7499, 0.8088, 0.8095]"
